SERVICE_DELETE_START
#存款核心
3013010030	01	CM
3013010030	02	CM
3013010030	03	CM
3013010030	04	CM
3013010030	05	CM
3013010031	01	CM
3013010031	02	CM
3013010032	01	CM
3013010032	02	CM
3013010032	03	CM
3013010032	04	CM
3013010032	05	CM
3013010032	06	CM
3013010032	07	CM
3013010033	01	CM
3013010033	02	CM
3013010034	01	CM
3013010034	02	CM
3013010035	01	CM
3013010035	02	CM
3013010035	03	CM
3013010035	04	CM
3013010035	05	CM
3013010035	06	CM
3013010035	07	CM
3013010035	08	CM
3013010035	09	CM
3013010035	10	CM
3013010035	11	CM
3013010035	12	CM
3013010036	01	CM
3013010036	02	CM
3013010036	03	CM
3013010036	04	CM
3013010036	05	CM
3013010036	06	CM
3013010036	07	CM
3013010037	01	CM
3013010037	02	CM
3013010037	03	CM
3013010037	04	CM
3013010037	05	CM
3013010037	06	CM
3013010037	07	CM
3013010037	08	CM
3013010037	09	CM
3013010037	10	CM
3013010037	11	CM
3013010037	12	CM
3013010037	13	CM
3013010038	01	CM
3013010039	01	CM
3013010040	01	CM
3013010040	02	CM
3013010041	01	CM
3013010041	02	CM
3013010042	01	CM
3013010043	01	CM
3013010044	01	CM
3013010044	02	CM
3013010045	01	CM
		
3014010001	01	CM
3014010001	02	CM
3014010002	01	CM
3014010002	02	CM
3014010002	03	CM
3014010003	01	CM
3014010003	02	CM
3014010003	03	CM
3014010004	01	CM
3014010004	02	CM
3015010001	01	CM
3015010001	02	CM
3015010001	03	CM
3015010001	04	CM
3015010002	01	CM
3015010003	01	CM
3015010003	02	CM
3015010003	03	CM
3015010003	04	CM
3015010004	01	CM
3015010004	02	CM
3015010004	03	CM
3015010004	04	CM
		
3011020001	01	RDFA
3011020001	01	CDFA
3011020002	01	RDFA
3011020002	01	CDFA
3011020003	01	RDFA
3011020003	01	CDFA
3011020004	01	RDFA
3011020004	01	CDFA
3011020004	02	RDFA
3011020004	02	CDFA
3011020005	01	RDFA
3011020005	01	CDFA
3011020005	02	RDFA
3011020005	02	CDFA
3011020006	01	RDFA
3011020006	01	CDFA
3011020006	02	RDFA
3011020006	02	CDFA
3011020007	01	RDFA
3011020007	01	CDFA
3011020008	01	RDFA
3011020008	01	CDFA
3011020008	02	RDFA
3011020008	02	CDFA
3011020008	03	RDFA
3011020008	03	CDFA
3011020008	04	RDFA
3011020008	04	CDFA
3011020008	05	RDFA
3011020008	05	CDFA
3011020008	06	RDFA
3011020008	06	CDFA
3011020009	01	RDFA
3011020009	01	CDFA
3011020009	02	RDFA
3011020009	02	CDFA
3011020009	03	RDFA
3011020009	03	CDFA
3011020009	04	RDFA
3011020009	04	CDFA
3011020009	05	RDFA
3011020009	05	CDFA
3011020010	01	RDFA
3011020010	01	CDFA
3011020010	02	RDFA
3011020010	02	CDFA
3011020011	01	RDFA
3011020011	01	CDFA
3011020011	02	RDFA
3011020011	02	CDFA
3011020011	03	RDFA
3011020011	03	CDFA
3011020011	04	RDFA
3011020011	04	CDFA
3011020011	05	RDFA
3011020011	05	CDFA
3011020012	01	RDFA
3011020012	01	CDFA
3011030001	01	RDFA
3011030001	01	CDFA
3011030001	02	RDFA
3011030001	02	CDFA
3011030002	01	RDFA
3011030002	01	CDFA
3012020002	01	RDFA
3012020002	01	CDFA
3012020002	02	RDFA
3012020002	02	CDFA
3012020002	03	RDFA
3012020002	03	CDFA
3012020003	01	RDFA
3012020003	01	CDFA
3012020003	02	RDFA
3012020003	02	CDFA
3012020004	01	RDFA
3012020004	01	CDFA
3012020004	02	RDFA
3012020004	02	CDFA
3012020004	03	RDFA
3012020004	03	CDFA
3012020004	04	RDFA
3012020004	04	CDFA
3012020004	05	RDFA
3012020004	05	CDFA
3012020005	01	RDFA
3012020005	01	CDFA
3012020005	02	RDFA
3012020005	02	CDFA
3012020006	01	RDFA
3012020006	01	CDFA
3012020006	02	RDFA
3012020006	02	CDFA
3012020006	03	RDFA
3012020006	03	CDFA
3012020006	04	RDFA
3012020006	04	CDFA
3012020006	05	RDFA
3012020006	05	CDFA
3012020007	01	RDFA
3012020007	01	CDFA
3012020007	02	RDFA
3012020007	02	CDFA
3012020007	03	RDFA
